2,Community Name,,Used For,Alternate Names/Spellings,Cultural Affiliations,Political Affiliations,Language(s),Treaty/Agreement/Settlement,Band #,Reserve/Settlement Name,Reserve/Settlement Location (NRCan),Source(s),Notes,Vetted by,Vetted date,,,,,,,,,,,,,,,
13,Akulivik,,,ᐊᑯᓕᕕᒃ,Inuit,"Kativik Regional Government
Makivik Corporation","Inuktitut
English
French",James Bay/Northern Quebec,n/a,,"Nunavik, Quebec","http://www.makivik.org/akulivik
http://www.makivik.org/our-communities
http://www.krg.ca/iu/home-iu/nunavik-maps","Akulivik: ""central prong of a kakivak"" ; existing LC auth: http://id.loc.gov/authorities/names/no2015115987 ; wikidata: https://www.wikidata.org/wiki/Q423720","Carol Rigby
(Tim Knight)",10Mar2019,,,,,,,,,,,,,,,
14,Akwesasne (see Ontario),,,,,,,,,,(Ontario) (Quebec),,,,,,,,,,,,,,,,,,,
15,Alderville,,Alderville First Nation,,"Anishnabek
Ojibway
Mississauga",,"Ojibwemowin
English",Williams Treaty,160,"Alderville First Nation
Sugar Island 37A","http://www4.rncan.gc.ca/search-place-names/unique/FESXK
http://www4.rncan.gc.ca/search-place-names/unique/FETBS","http://alderville.ca/
http://www.firstnation.ca/alderville
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=160",,Tim Knight,11Sep2018,,,,,,,,,,,,,,,
16,Alexander First Nation,,,,Cree,Yellowhead Tribal Development Foundation,"Nêhîyawêwin/ Nehiyawewin (Cree)
English",Treaty 6,438,"Alexander 134
Alexander 134A
Alexander 134B","http://www4.rncan.gc.ca/search-place-names/unique/IAUBO
http://www4.rncan.gc.ca/search-place-names/unique/IZAAH
http://www4.rncan.gc.ca/search-place-names/unique/IZAAI","https://alexanderfn.com/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=438",,Sharon Farnel,May. 2019,,,,,,,,,,,,,,,
17,Alexis Nakota Sioux Nation,,"Isga
Assiniboine/Stoney",,Nakota,Confederacy of Treaty Six First Nations,"Nakoda/Stoney (Isga I'abi)
English",Treaty 6,437,"Alexis 133
Alexis Cardinal River 234
Alexis Elk River 233
Alexis Whitecourt 232","http://www4.rncan.gc.ca/search-place-names/unique/IAUBP
http://www4.rncan.gc.ca/search-place-names/unique/IAUFN
http://www4.rncan.gc.ca/search-place-names/unique/IAUFM
http://www4.rncan.gc.ca/search-place-names/unique/IAUBC","http://www.alexisnakotasioux.com/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=437",,Sharon Farnel,May. 2019,,,,,,,,,,,,,,,
18,Algonquin National Programs and Services Secretariat,,,,Algonquin,,,,,,,,This is a tribal council,Robin Desmeules,Jan 17/19,,,,,,,,,,,,,,,
19,Algonquins of Barriere Lake,,"Algonquins of Barriere Lake (First Nation)
ABL
Mitchikanibikok Inik",,Algonquin,Algonquin Nation Programs and Services Secretariat,"Algonquin
English",,74,Rapid Lake,Not listed in nrcan dbase.,http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=74,Existing authority at: https://www.wikidata.org/wiki/Q27686232 ; http://id.loc.gov/authorities/names/no2015106828.html,Robin Desmeules,Jan 17/19,,,,,,,,,,,,,,,
20,Algonquins of Pikwakanagan,,"Algonquins of Pikwakanagan First Nation
Algonquin
Algonquains
Golden Lake (Algonquins of Pikwakanagan)",,"Anishnabek
Omàmìwininì
Ojibway",Union of Ontario Indians,English,Upper Canada Treaties Area 1,163,Pikwakanagan,http://www4.rncan.gc.ca/search-place-names/unique/FEVIX,"https://www.algonquinsofpikwakanagan.com/
http://www.firstnation.ca/golden-lake-algonquins-pikwakanagan
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=163",,Tim Knight,11Sep2018,,,,,,,,,,,,,,,
21,Anicinapek de Kitcisakik,,"Communauté anicinape de Kitcisakik
Anicinape de Kitcisakik Community",,Algonquin,Algonquin Anishinabeg Nation Tribal Council,"Algonquin
French
English",,62,Grand-Lac Victoria Indian Settlement,"Val d'Or (band office); Kitcisakik, Quebec // not in nrcan list","https://web.archive.org/web/20181124134306/http://www.kitcisakik.ca/
http://www.anishinabenation.ca/en/the-algonquin-communities/anicinape-de-kitcisakik-community/
https://www.aadnc-aandc.gc.ca/Mobile/Nations/profile_kitcisakik-eng.html
http://fnp-ppn.aadnc-aandc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=62","They had website trouble (server error), used the wayback machine to see the page (Nov 28, 2018). Existing LC: http://id.loc.gov/authorities/names/no2015152255",Robin Desmeules,28May2019,,,,,,,,,,,,,,,
22,Animakee Wa Zhing #37,,"Northwest Angle 37 First Nation
Northwest Angle No. 37",,Anishnabek,"Anishinaabeg of Kabapikotawangag Resource Council
Grand Council of Treaty 3","Anishinaabemowin
English",Treaty 3,152,"Agency 30
Big Island 37
Lake of the Woods 34
Lake of the Woods 37
Lake of the Woods 37B
Northwest Angle 34C
Northwest Angle 34C & 37B
Northwest Angle 37C
Shoal Lake 34B1
Shoal Lake 37A
Whitefish Bay 34A","http://www4.rncan.gc.ca/search-place-names/unique/FESXJ
http://www4.rncan.gc.ca/search-place-names/unique/FESXS
http://www4.rncan.gc.ca/search-place-names/unique/FESZH
http://www4.rncan.gc.ca/search-place-names/unique/FESZJ
http://www4.rncan.gc.ca/search-place-names/unique/FESZK
http://www4.rncan.gc.ca/search-place-names/unique/GBPGS
http://www4.rncan.gc.ca/search-place-names/unique/FESWI
http://www4.rncan.gc.ca/search-place-names/unique/GBPGT
http://www4.rncan.gc.ca/search-place-names/unique/FETBO
http://www4.rncan.gc.ca/search-place-names/unique/FESWU
http://www4.rncan.gc.ca/search-place-names/unique/FETCA","http://www.firstnation.ca/northwest-angle-no-37
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=152",,Tim Knight,13Dec2018,,,,,,,,,,,,,,,
